,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,rel_filter_threshold,prop_drop
29,ade_bert_train,2022-03-26_22.58.03.803951,90.3973490091742,81.26377663482732,81.11682586333579,90.03690036900369,81.26377663482732,81.11682586333579,4,20,100,100,2e-05,0.01,0.4,0.0
30,ade_bert_train,2022-03-27_00.35.54.137045,90.46184738955824,81.48698884758365,81.48698884758365,90.17608897126968,81.48698884758365,81.48698884758365,4,20,100,100,5e-05,0.0,0.4,0.1
31,ade_bert_train,2022-03-27_11.58.39.924045,90.60657303032328,81.3745704467354,81.3745704467354,90.29918404351768,81.3745704467354,81.3745704467354,4,20,100,100,3e-05,0.01,0.4,0.2
32,ade_bert_train,2022-03-26_21.51.25.634438,91.0600121718184,83.27246165084003,83.27246165084003,90.7083716651334,83.27246165084003,83.27246165084003,4,20,100,100,2e-05,0.02,0.4,0.1
33,ade_bert_train,2022-03-27_03.08.55.154588,90.05610212212375,80.8972503617945,80.8972503617945,89.63302752293578,80.8972503617945,80.8972503617945,4,20,100,100,8e-05,0.02,0.4,0.1
34,ade_bert_train,2022-03-26_20.43.55.431522,89.97936213977708,80.08817046289492,80.08817046289492,89.6774193548387,80.08817046289492,80.08817046289492,4,20,100,100,2e-05,0.02,0.4,0.0
35,ade_bert_train,2022-03-27_04.15.31.527672,89.25090751944684,79.05604719764013,79.05604719764013,88.919796012981,79.05604719764013,79.05604719764013,4,20,100,100,8e-05,0.01,0.4,0.0
36,ade_bert_train,2022-03-26_22.13.30.614231,89.82238939540392,79.11764705882354,79.11764705882354,89.50276243093921,79.11764705882354,79.11764705882354,4,20,100,100,2e-05,0.02,0.4,0.2
37,ade_bert_train,2022-03-27_05.44.28.664668,89.35233564389576,79.41818181818182,79.41818181818182,88.96044158233668,79.41818181818182,79.41818181818182,4,20,100,100,8e-05,0.01,0.4,0.2
38,ade_bert_train,2022-03-26_21.06.56.446865,90.3776203633296,81.88512518409425,81.88512518409425,90.02770083102493,81.88512518409425,81.88512518409425,4,20,100,100,2e-05,0.02,0.4,0.0
39,ade_bert_train,2022-03-27_06.50.39.168986,90.86336823876395,82.14804063860667,82.14804063860667,90.55045871559632,82.14804063860667,82.14804063860667,4,20,100,100,8e-05,0.0,0.4,0.0
40,ade_bert_train,2022-03-27_04.37.47.072365,89.65827641880982,81.18240807498196,81.18240807498196,89.32661475034357,81.18240807498196,81.18240807498196,4,20,100,100,8e-05,0.01,0.4,0.0
