,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
116,conll04_bert_train,2022-03-24_20.27.51.112769,82.73997543213127,70.1301268912998,70.1301268912998,86.6779089376054,69.44,69.44,4,20,100,100,0.0001,0.1,1,0.5,0.2
117,conll04_bert_train,2022-03-24_17.36.19.971605,82.63240313504996,71.63820417105991,71.31033531860089,86.62562954672636,70.0,69.6969696969697,4,20,100,100,5e-05,0.05,1,0.4,0.2
118,conll04_bert_train,2022-03-24_10.42.34.301900,68.6546838683945,46.80298652780158,46.521296386956514,74.85191168551427,46.357615894039725,46.09271523178807,4,20,100,100,5e-06,0.1,1,0.5,0.2
119,conll04_bert_train,2022-03-24_17.29.35.376843,83.01148052526408,70.2149033761937,70.2149033761937,86.88801350590883,69.1131498470948,69.1131498470948,4,20,100,100,5e-05,0.05,1,0.4,0.1
120,conll04_bert_train,2022-03-24_16.56.59.416385,85.67738073136117,73.20216644784938,73.20216644784938,88.65168539325843,71.88940092165899,71.88940092165899,4,20,100,100,5e-05,0.1,1,0.4,0.2
121,conll04_bert_train,2022-03-24_13.19.11.692779,66.60044259483088,46.26012984288123,46.26012984288123,73.60515021459227,46.21621621621622,46.21621621621622,4,20,100,100,5e-06,0.0,1,0.5,0.2
122,conll04_bert_train,2022-03-24_15.46.31.582734,82.59498800188152,66.92693502439027,66.62159151293989,87.04836020011116,65.49707602339181,65.2046783625731,4,20,100,100,1e-05,0.005,1,0.5,0.0
123,conll04_bert_train,2022-03-24_19.05.28.420068,83.11737648857189,71.94287017132434,71.94287017132434,86.8629671574179,70.55118110236222,70.55118110236222,4,20,100,100,5e-05,0.005,1,0.5,0.1
124,conll04_bert_train,2022-03-24_10.55.08.682239,74.89255545056257,56.30117216511427,56.30117216511427,80.63284233497001,55.629139072847686,55.629139072847686,4,20,100,100,5e-06,0.05,1,0.4,0.1
125,conll04_bert_train,2022-03-24_22.21.16.322958,83.5700407767581,70.42383964500544,70.10887901508418,87.17660292463442,69.13580246913578,68.82716049382715,4,20,100,100,5e-05,0.005,1,0.5,0.2
126,conll04_bert_train,2022-03-24_21.42.30.354802,81.87876227268309,68.9186005251579,68.59073167269888,86.02395892755275,67.86296900489397,67.53670473083197,4,20,100,100,0.0001,0.01,1,0.5,0.2
127,conll04_bert_train,2022-03-24_21.23.48.390177,82.55092354218435,69.99997018603617,69.99997018603617,86.01909039865244,68.84735202492212,68.84735202492212,4,20,100,100,0.0001,0.01,1,0.4,0.2
128,conll04_bert_train,2022-03-24_17.49.26.925285,81.49281615608805,71.37679307172347,71.37679307172347,85.89164785553048,70.32967032967032,70.32967032967032,4,20,100,100,5e-05,0.05,1,0.5,0.1
129,conll04_bert_train,2022-03-24_15.33.05.939120,83.60998060397604,67.75199375199377,67.75199375199377,87.1309192200557,66.66666666666666,66.66666666666666,4,20,100,100,1e-05,0.005,1,0.4,0.1
130,conll04_bert_train,2022-03-24_11.48.22.119873,72.10509916195535,51.89669915643916,51.89669915643916,77.35449735449735,51.08108108108107,51.08108108108107,4,20,100,100,5e-06,0.01,1,0.5,0.0
131,conll04_bert_train,2022-03-24_11.28.25.411100,74.55042268844724,59.776891424844,59.49911364706622,80.61168760240307,59.66386554621849,59.38375350140056,4,20,100,100,5e-06,0.01,1,0.4,0.0
